*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=circuitoMain2
*Date=18:29:46
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
225;;THT;51.9185;-68.5372;0;Bottom;J5
226;;;82.3984;-156.167;0;Bottom;Via148
227;100;0402 [SMD];92.5585;-75.5372;-90;Top;R9
228;100;0402 [SMD];107.799;-276.197;-90;Top;R44
229;;;41.7585;-79.9672;0;Bottom;Via237
230;;;110.338;-237.447;0;Bottom;Via14
231;;TO92 [THT];122.848;-270.378;0;Bottom;Q30
232;;;234.799;-59.6472;0;Bottom;Via63
233;;DIP16 [THT];81.1285;-137.117;-90;Bottom;U7
234;;TO92 [THT];216.828;-90.0383;0;Bottom;Q55
235;;;277.979;-250.147;0;Bottom;Via44
236;;;163.832;-59.5959;0;Bottom;Via271
237;;TO92 [THT];272.708;-237.358;-90;Bottom;Q12
238;;;115.418;-234.907;0;Bottom;Via114
239;;THT;284.329;-120.607;-90;Bottom;J53
240;;;62.0785;-59.6472;0;Bottom;Via261
241;;TO92 [THT];115.228;-90.0383;0;Bottom;Q4
242;;;163.678;-153.627;0;Bottom;Via131
243;;;166.218;-239.987;0;Bottom;Via121
244;;THT;284.329;-173.947;-90;Bottom;J48
245;;;204.319;-79.9672;0;Bottom;Via221
246;;TO92 [THT];237.148;-90.0383;0;Bottom;Q62
247;;;214.479;-59.6472;0;Bottom;Via256
248;;;295.759;-184.107;0;Bottom;Via248
249;;;49.3784;-290.787;0;Bottom;Via41
250;;;56.9985;-85.0472;0;Bottom;Via81
251;;TO92 [THT];33.948;-90.0383;0;Bottom;Q45
252;;THT;183.999;-68.5372;0;Bottom;J18
253;;DIP16 [THT];200.509;-180.297;180;Bottom;U4
254;;;120.498;-156.167;0;Bottom;Via174
255;;THT;194.159;-68.5372;0;Bottom;J19
256;;;295.739;-130.826;0;Bottom;Via254
257;;;227.178;-115.527;0;Bottom;Via11
258;;;186.538;-227.287;0;Bottom;Via16
259;100;0402 [SMD];183.999;-75.5372;-90;Top;R18
260;100;0402 [SMD];102.719;-75.5372;-90;Top;R10
261;100;0402 [SMD];41.7585;-75.5372;-90;Top;R4
262;;;46.8385;-85.0472;0;Bottom;Via82
263;;;67.1585;-295.867;0;Bottom;Via187
264;;;277.979;-135.847;0;Bottom;Via57
265;;;92.5585;-59.6472;0;Bottom;Via264
266;;;133.199;-295.867;0;Bottom;Via191
267;;;112.879;-59.6472;0;Bottom;Via266
268;;THT;284.329;-110.447;-90;Bottom;J54
269;;TO92 [THT];23.788;-90.0383;0;Bottom;Q57
270;100;0402 [SMD];123.039;-75.5372;-90;Top;R12
271;;;277.979;-219.667;0;Bottom;Via47
272;;;102.718;-133.307;0;Bottom;Via179
273;;;38.4674;-193.165;90;Bottom;Raspberry Pi 1
274;;;49.3785;-252.687;0;Bottom;Via40
275;;THT;232.259;-284.437;0;Bottom;J37
276;;;209.399;-295.867;0;Bottom;Via199
277;;;277.979;-179.027;0;Bottom;Via52
278;;;112.878;-148.547;0;Bottom;Via175
279;;;115.418;-168.867;0;Bottom;Via155
280;;;277.979;-229.827;0;Bottom;Via46
281;;;31.5985;-59.6472;0;Bottom;Via239
282;;;163.678;-168.867;0;Bottom;Via157
283;100;0402 [SMD];120.499;-276.197;-90;Top;R45
284;;;92.5585;-79.9672;0;Bottom;Via232
285;100;0402 [SMD];133.199;-276.197;-90;Top;R46
286;;;277.979;-148.547;0;Bottom;Via55
287;100;0402 [SMD];291.329;-130.767;0;Top;R26
288;;TO92 [THT];272.708;-260.218;-90;Bottom;Q19
289;;;219.559;-85.0472;0;Bottom;Via66
290;;;204.267;-59.5959;0;Bottom;Via257
291;;TO92 [THT];56.808;-270.378;0;Bottom;Q42
292;;;173.838;-219.667;0;Bottom;Via145
293;;TO92 [THT];166.028;-90.0383;0;Bottom;Q46
294;100;0402 [SMD];72.2385;-75.5372;-90;Top;R7
295;100;0402 [SMD];112.879;-75.5372;-90;Top;R11
296;;;79.8584;-153.627;0;Bottom;Via176
297;;;242.513;-295.773;0;Bottom;Via240
298;;;161.138;-239.987;0;Bottom;Via149
299;;;117.958;-234.907;0;Bottom;Via110
300;;;176.378;-194.267;0;Bottom;Via126
301;100;0402 [SMD];291.329;-163.787;0;Top;R29
302;;;193.902;-59.6985;0;Bottom;Via274
303;;TO92 [THT];196.508;-90.0383;0;Bottom;Q49
304;;;133.199;-59.6472;0;Bottom;Via268
305;;THT;62.0785;-68.5372;0;Bottom;J6
306;;;123.039;-79.9672;0;Bottom;Via229
307;;TO92 [THT];272.708;-196.718;-90;Bottom;Q16
308;;TO92 [THT];160.948;-272.918;0;Bottom;Q33
309;;;295.759;-110.447;0;Bottom;Via216
310;;TO92 [THT];64.428;-90.0383;0;Bottom;Q59
311;;TO92 [THT];173.648;-272.918;0;Bottom;Q34
312;100;0402 [SMD];291.329;-245.067;0;Top;R37
313;;;143.359;-59.6472;0;Bottom;Via269
314;100;0402 [SMD];234.799;-75.5372;-90;Top;R23
315;;;191.619;-204.427;0;Bottom;Via171
316;;;87.4785;-85.0472;0;Bottom;Via103
317;;;173.838;-222.207;0;Bottom;Via160
318;;;209.399;-85.0472;0;Bottom;Via67
319;;;161.138;-227.287;0;Bottom;Via150
320;;THT;92.5585;-284.437;0;Bottom;J26
321;;;229.719;-85.0472;0;Bottom;Via93
322;;THT;107.799;-284.437;0;Bottom;J27
323;;THT;82.3985;-68.5372;0;Bottom;J8
324;;;117.958;-224.747;0;Bottom;Via111
325;;;97.6385;-85.0472;0;Bottom;Via184
326;;;156.058;-239.987;0;Bottom;Via163
327;;;163.678;-214.587;0;Bottom;Via142
328;;;183.742;-59.5959;0;Bottom;Via273
329;;;199.239;-85.0472;0;Bottom;Via90
330;;TO92 [THT];224.448;-272.918;0;Bottom;Q38
331;;;173.839;-79.9672;0;Bottom;Via224
332;;;150.978;-229.827;0;Bottom;Via120
333;100;0402 [SMD];51.9185;-75.5372;-90;Top;R5
334;;TO92 [THT];105.068;-90.0383;0;Bottom;Q5
335;;TO92 [THT];135.548;-90.0383;0;Bottom;Q10
336;;;72.2384;-229.827;0;Bottom;Via107
337;;;178.918;-217.127;0;Bottom;Via125
338;;TO92 [THT];244.768;-272.918;0;Bottom;Q40
339;;;181.458;-189.187;0;Bottom;Via18
340;;;123.038;-219.667;0;Bottom;Via139
341;;;115.418;-217.127;0;Bottom;Via116
342;;;295.759;-153.627;0;Bottom;Via251
343;;;128.119;-85.0472;0;Bottom;Via86
344;;;265.279;-209.507;0;Bottom;Via196
345;100;0402 [SMD];291.329;-143.467;0;Top;R27
346;;;97.6384;-153.627;0;Bottom;Via20
347;;;107.798;-163.787;0;Bottom;Via137
348;;;117.959;-85.0472;0;Bottom;Via85
349;;THT;224.639;-68.5372;0;Bottom;J22
350;100;0402 [SMD];232.259;-278.737;-90;Top;R54
351;;THT;16.3585;-68.5372;0;Bottom;J2
352;;THT;163.679;-68.5372;0;Bottom;J16
353;;;295.759;-120.607;0;Bottom;Via253
354;100;0402 [SMD];214.479;-75.5372;-90;Top;R21
355;100;0402 [SMD];291.329;-194.267;0;Top;R32
356;;;92.5585;-295.867;0;Bottom;Via189
357;;DIP16 [THT];164.949;-137.117;-90;Bottom;U5
358;;;82.3985;-79.9672;0;Bottom;Via233
359;;THT;284.329;-130.767;-90;Bottom;J52
360;;;171.298;-224.747;0;Bottom;Via15
361;100;0402 [SMD];291.329;-214.587;0;Top;R34
362;;;295.759;-163.787;0;Bottom;Via250
363;;;295.759;-204.427;0;Bottom;Via246
364;;;277.979;-85.0472;0;Bottom;Via60
365;;THT;284.329;-153.627;-90;Bottom;J49
366;;;295.759;-270.467;0;Bottom;Via203
367;;;112.879;-79.9672;0;Bottom;Via230
368;;;102.719;-59.6472;0;Bottom;Via265
369;;TO92 [THT];186.348;-90.0383;0;Bottom;Q52
370;;;171.299;-295.867;0;Bottom;Via194
371;;DIP16 [THT];164.949;-248.877;90;Bottom;U2
372;;THT;222.099;-284.437;0;Bottom;J36
373;;;183.999;-79.9672;0;Bottom;Via223
374;;;115.418;-239.987;0;Bottom;Via113
375;;;115.418;-153.627;0;Bottom;Via173
376;100;0402 [SMD];291.329;-184.107;0;Top;R31
377;;;87.4784;-163.787;0;Bottom;Via138
378;;;107.799;-295.867;0;Bottom;Via1
379;;;150.978;-140.927;0;Bottom;Via182
380;;;277.979;-209.507;0;Bottom;Via50
381;;;72.2385;-79.9672;0;Bottom;Via234
382;;;158.599;-295.867;0;Bottom;Via193
383;;;277.979;-168.867;0;Bottom;Via53
384;;THT;158.599;-284.437;0;Bottom;J31
385;;TO92 [THT];272.708;-272.918;-90;Bottom;Q20
386;100;0402 [SMD];209.399;-278.737;-90;Top;R52
387;100;0402 [SMD];62.0785;-75.5372;-90;Top;R6
